ID,Hospital Name,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,Score,District,Risk
459,Peterson-Rios Hospital Group,6,4,6,4,2,8,6,4,4,6,4,2,2,6,4,10,10,2,560,2,High
460,"Smith, Monroe and Miller Medical Center",6,2,4,4,8,6,6,8,10,2,8,2,2,6,2,4,8,2,560,3,High
461,Weaver-Johnson Medical Group,4,2,4,6,2,6,6,10,10,6,6,2,4,4,2,4,6,6,560,5,High
462,Hinton-Wheeler Medical Center,2,2,8,2,10,8,6,8,4,10,4,2,2,4,6,2,4,6,560,5,High
463,Barnes and Sons Medical Group,4,2,2,6,4,2,4,2,2,6,8,10,10,4,4,4,8,8,555,4,Medium
464,Carey Inc Medical Center,8,6,6,4,6,4,4,2,4,10,4,4,4,6,4,6,4,4,555,4,Medium
465,"Zimmerman, Peterson and Scott Medical Group",4,4,2,2,4,6,10,4,2,6,8,10,8,6,2,4,6,2,555,1,Medium
466,Sanchez-Morris Medical Group,6,10,4,6,6,6,6,2,2,8,2,2,4,2,10,2,6,6,555,3,Medium
467,Garrett Hospital Group,6,2,4,2,2,8,4,8,2,6,6,2,8,6,4,10,6,4,555,2,Medium
468,"Williams, Rice and Macias Hospital Group",4,4,10,2,2,8,6,4,8,4,2,4,6,2,2,4,6,10,550,4,High
469,Gill-Smith General Hospital,8,2,10,2,6,10,2,2,2,4,8,6,2,4,10,2,4,4,550,3,High
470,Tucker and Sons Hospital Group,8,6,10,4,2,2,4,4,6,6,8,2,4,4,2,2,10,4,550,2,High
471,"Howard, Hall and Arnold Medical Group",2,6,6,2,8,4,2,2,6,4,10,6,2,6,4,8,8,2,550,2,High
472,Rich-Stevens Medical Center,8,8,6,2,8,4,4,10,10,8,4,2,2,2,4,2,2,2,550,1,High
473,Johnson-Jones Medical Group,8,2,2,8,4,4,8,8,6,2,4,4,2,10,4,4,6,2,550,1,High
474,Ellis Medical Center,4,2,4,6,6,4,2,2,8,2,8,10,4,2,4,8,4,8,550,3,High
475,Cook-Murphy Medical Group,6,6,6,4,2,2,2,6,4,2,2,2,6,10,8,8,10,2,545,5,Medium
476,"Daniels, Moreno and Arellano General Hospital",4,10,10,2,4,6,6,2,4,4,2,2,6,10,10,2,2,2,545,2,Medium
477,"Weaver, Watson and Bradford General Hospital",10,2,2,2,10,6,6,4,6,6,2,8,4,4,4,6,2,2,540,4,High
478,Mccoy Medical Group,8,2,8,4,4,8,4,4,4,6,2,4,2,4,6,8,6,2,540,3,High
479,"Anderson, Miller and Snyder Hospital Group",2,2,2,4,6,2,10,4,4,4,8,8,8,2,6,4,6,4,540,1,High
480,Martin General Hospital,2,10,2,10,2,10,2,2,2,2,8,2,6,2,6,8,8,2,540,2,High
481,"Ho, Clayton and Leonard Hospital Group",2,2,2,2,4,8,6,2,4,2,4,8,8,4,10,2,10,6,535,3,Medium
482,Shaw-Weiss Medical Group,4,8,4,6,4,10,4,2,2,2,2,2,2,8,2,4,10,10,535,1,Medium
483,"Herrera, Elliott and Andrews General Hospital",2,6,2,8,2,6,2,2,4,2,6,2,6,10,6,6,10,4,535,4,Medium
484,"Gardner, Clark and White Hospital Group",2,6,8,4,4,10,4,2,2,2,4,2,10,2,4,6,8,6,535,4,Medium
485,Malone-Perkins Medical Center,6,10,2,2,2,6,2,8,2,4,6,8,8,8,6,2,2,2,535,4,Medium
486,"Hansen, Williams and Larson General Hospital",10,2,2,2,4,4,4,2,4,6,4,10,2,6,8,2,6,8,535,2,Medium
487,Shaw-Cooper General Hospital,8,2,2,2,2,4,8,8,10,2,2,2,2,10,6,2,2,10,525,5,Medium
488,Howard PLC Medical Center,10,2,6,8,4,2,4,2,2,6,2,6,2,8,6,4,6,4,525,4,Medium
489,Rogers-Taylor Hospital Group,4,6,2,4,4,8,4,2,4,4,6,10,6,10,2,2,4,2,525,4,Medium
490,"Cochran, Hubbard and Murphy Medical Group",4,8,4,2,2,2,6,2,4,8,8,4,10,6,2,2,8,2,525,2,Medium
491,Thompson Medical Center,6,6,8,6,2,2,4,6,6,4,6,6,4,4,6,2,2,2,520,2,High
492,Miller-Miller Medical Center,4,2,2,4,8,6,4,6,2,8,2,2,10,6,2,6,4,4,515,4,Medium
493,Lewis Medical Group,2,2,2,4,2,8,2,2,4,8,6,4,10,4,8,6,2,4,505,4,Medium
494,Harmon-Hendrix Medical Center,2,2,10,6,2,4,4,10,4,2,2,2,4,4,4,4,6,6,500,4,High
495,"Powell, Sanchez and White Medical Group",6,2,10,8,2,4,2,6,2,10,2,2,10,2,4,2,2,2,500,3,High
496,"Yang, Douglas and Benson Medical Group",6,2,8,4,2,2,4,2,2,6,2,10,4,4,4,4,8,2,490,4,High
497,Stevens-Shea Medical Center,8,4,2,2,2,4,2,2,2,6,4,6,2,6,4,10,4,6,485,5,Medium
498,Pratt Inc Medical Center,2,8,6,2,4,4,2,6,4,2,4,4,8,6,4,2,4,2,475,1,Medium
499,"Snyder, Howard and Johnston Medical Center",2,2,2,10,2,2,4,4,2,6,6,4,2,6,2,2,8,6,460,3,Low
500,Perez Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
501,Floyd-Parker Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
502,"Day, Owens and Rangel Medical Center",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,2,Low
503,"Wood, Smith and Anderson Medical Center",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
504,Spencer Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,2,Low
505,Hinton Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,2,Low
506,Patterson-Baker Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
507,Ortiz General Hospital,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
508,Smith PLC Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
509,Brown-Brown Hospital Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,2,Low
510,Stone Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,2,Low
511,Davis-Yoder Hospital Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
512,"Howell, Sanchez and Smith Hospital Group",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
513,Powell and Sons General Hospital,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
514,"Blevins, Arnold and Flores Hospital Group",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,3,Low
515,"Henry, Leon and Lucero Medical Center",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
516,Wagner PLC Hospital Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
517,Smith-Ruiz Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,3,Low
518,Velazquez Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,2,Low
519,"Morris, Thompson and Cordova General Hospital",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,3,Low
520,"Gutierrez, Hawkins and Moss Medical Group",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,3,Low
521,"Perez, Mitchell and Reyes Hospital Group",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
522,Phillips and Sons Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,3,Low
523,Payne Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
524,"Johnson, Cabrera and Garcia Medical Group",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
525,"Carney, Mooney and Haynes Hospital Group",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,3,Low
526,"Pineda, Humphrey and Collins Medical Center",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
527,"Drake, Grant and Oneill Medical Group",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
528,"Perry, Morris and Norman Medical Group",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,2,Low
529,"Meyer, Mullins and Whitehead General Hospital",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
530,"Fletcher, Jones and Jackson Medical Group",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
531,Ramirez-Garcia Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
532,Baker-Combs Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,3,Low
533,Christian Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
534,Morgan Inc Hospital Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
535,Gill-Vasquez Hospital Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
536,"Decker, Hall and Brown Medical Center",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
537,"Hughes, Davidson and Mckinney Hospital Group",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
538,Scott-Lopez Hospital Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,2,Low
539,Lopez and Sons General Hospital,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
540,Moore-Garcia Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
541,Rodriguez-Williams Hospital Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,2,Low
542,"Garrison, Mcgrath and Hill General Hospital",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,2,Low
543,"Robinson, Herring and Moreno General Hospital",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
544,Sellers-Arias Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,3,Low
545,Moore Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
546,"Crane, Gibbs and Mason General Hospital",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,2,Low
547,Jones-Cohen Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,3,Low
548,Fields Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
549,Russell-Cole General Hospital,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
550,"Benitez, Flores and Johnson Hospital Group",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
551,"Gilmore, Woods and Baker Medical Center",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
552,Miller-Mckenzie Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
553,King-Newton Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,2,Low
554,Hill Inc Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
555,"Jones, Morales and Baker Medical Group",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,3,Low
556,"Trevino, Carey and Estrada General Hospital",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
557,Davies-Ramsey Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
558,Summers PLC Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
559,Smith Inc General Hospital,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
560,Boyer-Davis Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
561,Smith Inc General Hospital,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,2,Low
562,Hall-Austin Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
563,Franco Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,3,Low
564,Martin Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
565,Greer-Larsen Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
566,Dean-Cortez General Hospital,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,2,Low
567,Gill and Sons Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,2,Low
568,Cardenas General Hospital,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,3,Low
569,Doyle-Huang Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,2,Low
570,Douglas-Guzman General Hospital,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
571,"Miller, Lloyd and Lopez General Hospital",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
572,"Moore, Bailey and Carter Medical Group",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
573,Rojas-Newton General Hospital,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
574,"Gillespie, Perkins and Martinez Medical Group",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
575,Powers-Jordan General Hospital,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,2,Low
576,Gomez-Chen Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,3,Low
577,Mason-Williams General Hospital,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
578,Jacobs-Ward Hospital Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
579,"Murphy, Cabrera and Ross General Hospital",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
580,Perez-Beck Hospital Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
581,"Romero, Owens and Velez Medical Center",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,3,Low
582,Anderson-Thomas Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
583,Newman PLC Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
584,Chambers Inc Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
585,Silva and Sons General Hospital,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,3,Low
586,Charles General Hospital,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
587,"Mcdaniel, Moore and Reid General Hospital",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
588,"George, Schultz and Cruz Medical Group",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,3,Low
589,"Frazier, Robinson and Morales General Hospital",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
590,"Henderson, Clark and Solomon Medical Group",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,2,Low
591,Reynolds-Bruce Hospital Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
592,Wise and Sons Hospital Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,3,Low
593,Robinson and Sons Hospital Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,2,Low
594,Black-Raymond Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
595,"Crosby, Jones and Hanna Hospital Group",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
596,Garcia-Rocha Hospital Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,3,Low
597,Hartman General Hospital,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
598,Bruce-Page Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
599,Hunt Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
600,Johnson Inc Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
601,Dougherty PLC General Hospital,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,2,Low
602,Morris General Hospital,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
603,Burns-Jones Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
604,White Hospital Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,2,Low
605,Johnson-Perez Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,2,Low
606,"Wilson, Rodriguez and Patrick General Hospital",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,3,Low
607,Obrien Hospital Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
608,"Brown, Cook and Nelson Medical Center",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
609,Singh Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
610,Yu-Beasley Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
611,Harris-Griffith Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
612,Jackson Hospital Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
613,"Rivera, Carrillo and Whitney Medical Group",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,3,Low
614,Henderson General Hospital,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
615,Peterson-Todd Hospital Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
616,"Lopez, Mays and Taylor Medical Group",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,2,Low
617,Atkins-Hill Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,3,Low
618,Myers-Parrish General Hospital,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
619,Ball-Fritz General Hospital,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,2,Low
620,Mccoy-Peters Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
621,Mendoza-Rush Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,2,Low
622,"Hall, Patrick and Torres Medical Center",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
623,Tran and Sons Hospital Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
624,Livingston Inc Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
625,Brooks Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
626,Anderson PLC General Hospital,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,3,Low
627,"Newman, Sanchez and Greene Hospital Group",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
628,Kennedy-Smith General Hospital,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,2,Low
629,Fleming Hospital Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
630,Vargas-Ochoa Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
631,Hawkins-Hurst Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
632,"Cruz, Weaver and Schneider Medical Group",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
633,Bowman General Hospital,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
634,Moore-Rojas Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
635,Jones Inc Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
636,"Lopez, Rojas and Ford General Hospital",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
637,Lopez-Mcclure Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
638,"Anderson, Young and Baker Hospital Group",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
639,Garcia and Sons General Hospital,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
640,Clark-Franco Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
641,"Horne, Palmer and Johnson General Hospital",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,2,Low
642,"May, Lucero and Walton Hospital Group",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,2,Low
643,Alvarado Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,2,Low
644,Bell Inc Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,3,Low
645,"Odom, Rowe and Stewart General Hospital",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
646,Ruiz-Carter Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
647,"Adams, Walsh and Stewart General Hospital",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
648,Young PLC Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,2,Low
649,"Roth, Allison and Robertson Medical Center",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
650,"Mcneil, Villarreal and West Hospital Group",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
651,Jackson General Hospital,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,2,Low
652,Ellis Hospital Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
653,Allen-Nguyen Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
654,Brown-Ellis Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
655,Nelson-Howell Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
656,"Smith, Owens and Sanchez Hospital Group",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
657,Bradshaw-Reynolds Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
658,Aguilar Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
659,Cobb Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
660,Smith-Mcfarland Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
661,Obrien-Fuller Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
662,Huynh and Sons General Hospital,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
663,Rivera Hospital Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
664,Black-Frank Hospital Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
665,"Gonzales, Moore and Ferrell Hospital Group",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
666,"Lee, Bell and King Hospital Group",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
667,Rosales Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,2,Low
668,Thomas Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,2,Low
669,"Davis, Novak and Roberts Medical Group",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
670,"Jenkins, Meyer and Banks Medical Group",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
671,George PLC Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
672,Bentley Inc Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
673,Evans-Ramirez Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,3,Low
674,"Bullock, Perez and Allen Hospital Group",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
675,"Vasquez, Noble and Reynolds Hospital Group",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
676,Thompson-Goodwin Hospital Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
677,Carlson Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
678,Townsend Inc General Hospital,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,5,Low
679,"Ortiz, Simpson and Rodgers Medical Center",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,3,Low
680,Edwards General Hospital,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
681,Martin-Nelson Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,3,Low
682,Roman-Banks General Hospital,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
683,Quinn Hospital Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
684,"Peterson, Smith and Weber Medical Group",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,3,Low
685,Bell-Nguyen Medical Center,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,3,Low
686,"Nguyen, Rivera and Franklin General Hospital",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
687,Sanchez-Sloan Medical Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,1,Low
688,Mcdaniel and Sons Hospital Group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,280,4,Low
